RANK,PoS,WORD,TOTAL,SPOKEN,FICTION,MAGAZINE,NEWSPAPER,ACADEMIC
38, P ,who,1103170,264157,167328,217038,287539,167108
72, R ,now,657619,261412,148205,100939,102299,44764
32, C ,or,1488977,256829,203915,379838,253764,394631
43, D ,all,970329,254919,224945,185591,151742,153132
100, R ,well,448199,253059,72117,50363,36063,36597
41, V ,would,1000182,251284,257792,166384,178690,146032
25, A ,his,1943525,249958,773950,344740,387053,187824
31, P ,she,1608851,234757,893446,210015,207020,63613
33, C ,as,1400622,225411,343825,280241,227304,323841
105, R ,very,422266,213807,54634,56770,53378,43677
70, V ,come,680619,208962,196338,111926,110043,53350
30, I ,by,1608416,204714,196593,390060,344195,472854
45, V ,make,932443,204692,185259,222325,184449,135718
60, D ,some,728487,204607,122403,142082,139276,120119
44, A ,my,1007382,202151,441538,193096,109507,61090
83, V ,want,559368,200497,144373,90527,94655,29316
61, P ,me,775446,198629,355457,113572,74040,33748
69, A ,your,719699,197768,171533,256103,65133,29162
67, V ,see,754368,197591,231002,124573,102187,99015
96, R ,here,447805,197285,112343,49848,59812,28517
50, R ,up,865430,197097,283753,179221,151318,54041
52, N ,time,832974,196659,172054,178141,156965,129155
64, R ,out,738311,192117,226743,142067,122101,55283
51, M ,one,830617,187026,163953,182331,160756,136551
36, A ,their,1170105,184917,176141,250636,232098,326313
54, N ,year,834997,181861,87874,196371,257004,111887
59, P ,them,735837,179926,202114,141292,117767,94738
63, V ,take,726578,178879,183134,144388,133259,86918
89, C ,because,476691,175882,64469,83557,78688,74095
76, R ,how,588188,175635,135456,110371,83738,82988
79, A ,our,574490,174245,92053,129624,87432,91136
97, N ,thing,438886,172314,103035,70388,65477,27672
57, C ,when,736305,156873,170018,170489,139108,99817
193, R ,right,251114,150569,54477,23738,17249,5081
113, P ,us,385782,149774,87378,64188,46501,37941
143, R ,really,289297,149108,49477,40866,38048,11798
74, I ,like,619260,145912,196344,128270,100076,48658
82, D ,these,554163,145376,48359,109016,63000,188412
68, P ,him,731462,141467,352391,99953,102931,34720
85, V ,look,534884,132781,230821,81446,62667,27169
71, V ,could,669783,129471,233352,115564,107776,83620
110, J ,good,386236,129228,81840,74737,65943,34488
84, N ,way,511585,129178,118837,104935,81860,76775
77, R ,then,589713,126512,214778,110863,76548,61012
154, V ,mean,269180,125305,52974,34936,26942,29023
103, V ,tell,420804,124092,145345,65837,61956,23574
58, D ,which,739360,122588,90895,161825,138151,225901
168, V ,talk,248986,121793,57691,28804,30422,10276
108, R ,back,399602,116412,150862,58352,56291,17685
90, N ,day,486307,115549,121000,107935,101322,40501
159, V ,let,263272,112247,75079,38085,27068,10793
86, M ,first,502030,110599,78284,108647,114709,89791
75, J ,other,589395,110014,80644,124745,117054,156938
102, D ,those,410262,110005,57901,75669,73951,92736
42, A ,her,1054106,109631,581601,156505,137449,68920
65, I ,into,723324,105646,221780,164351,122229,109318
258, U ,yes,173566,104462,44654,10869,9358,4223
80, M ,two,552785,103873,105146,114608,126450,102708
94, N ,man,459435,99779,161157,78385,66607,53507
91, D ,more,457736,99433,61390,111299,114312,71302
137, N ,state,440944,99365,13589,64831,122079,141080
73, C ,than,627735,98410,91124,161030,139933,137238
98, V ,give,415914,98401,94701,81543,75121,66148
127, V ,try,319415,97267,84493,58635,56847,22173
109, D ,any,374115,97081,69759,74332,63417,69526
238, N ,lot,185988,94828,22378,26638,36424,5720
87, R ,also,504559,93186,29728,117821,110806,153018
429, U ,yeah,116972,91462,20024,2962,2194,330
214, R ,today,199257,89869,16055,33125,38789,21419
93, A ,no,433546,89216,102749,84267,80340,76974
158, R ,why,256316,88859,73381,39929,32046,22101
142, P ,something,278966,88846,93085,41989,36392,18654
216, V ,happen,199650,88547,42725,27668,28785,11925
121, V ,should,335540,83706,52974,64979,56876,77005
99, D ,many,415218,83212,38333,100306,96030,97337
122, V ,call,333570,82871,76768,68829,67930,37172
146, D ,much,265384,82584,48199,53947,47952,32702
88, J ,new,472947,82435,49879,122399,118644,99590
117, V ,work,346641,81838,53356,83018,77545,50884
111, N ,woman,382235,81435,86591,78757,60843,74609
95, V ,find,426447,81130,92077,99491,71291,82458
166, N ,country,242456,79599,12835,41129,52708,56185
114, N ,life,361340,78297,68102,85825,62836,66280
197, N ,question,208806,77783,23644,27604,27332,52443
118, R ,down,356991,76137,145459,64722,52500,18173
130, M ,last,314652,75972,48410,57423,112161,20686
151, V ,put,257101,74304,65622,50240,46269,20666
131, V ,ask,308827,74218,105174,50510,46494,32431
78, A ,its,604138,73957,75506,147732,143078,163865
132, V ,need,304665,72116,56792,68927,54359,52471
107, R ,even,391962,71617,95329,92672,69462,62882
303, N ,president,199016,71607,7662,33690,63713,22344
498, V ,thank,97295,71415,14811,4283,3945,2841
115, N ,child,360478,71178,49735,74886,68463,96216
126, R ,still,322194,70774,88207,65498,64018,33697
92, V ,use,455925,69371,48546,117939,75303,144766
188, N ,week,217313,68365,29458,39318,65638,14534
195, V ,hear,212450,68009,83126,25549,24012,11754
162, J ,big,249244,67525,49200,58341,63957,10221
134, V ,feel,298414,67361,101535,59174,43058,27286
123, N ,world,328689,66255,42672,75128,67375,77259
250, N ,kind,167026,66242,31082,26691,22105,20906
212, V ,believe,192400,65736,33635,31393,33537,28099
160, J ,great,244358,63549,33480,54567,41004,51758
186, N ,case,216637,63395,16766,31925,40827,63724
171, N ,problem,233655,62974,17545,44916,42931,65289
120, I ,after,339185,62862,62281,74593,89659,49790
138, R ,never,284212,62613,94947,54214,49468,22970
411, U ,oh,113609,61464,38935,6657,4921,1632
235, N ,fact,173796,61184,20262,31142,23059,38149
190, R ,where,211899,60898,55006,36622,35419,23954
119, V ,may,345687,60766,20012,87310,52110,125489
173, V ,start,233601,59481,57008,51327,50620,15165
147, N ,family,264804,59339,31710,59323,63407,51025
184, R ,again,223868,59225,87790,30822,27071,18960
133, R ,too,303970,58580,101960,64024,51566,27840
233, N ,story,178828,58466,30598,29869,33068,26827
211, N ,point,194771,57916,21824,35374,43497,36160
124, I ,over,326862,57677,78817,70579,66299,53490
396, R ,actually,116147,57154,16162,18816,11569,12446
201, N ,government,209934,57038,5126,33366,53783,60621
176, J ,american,231470,56663,9058,50339,52183,63227
217, M ,next,192845,55999,36501,40710,42953,16682
101, R ,only,408282,55918,84846,92973,74468,100077
232, N ,money,178555,54786,26053,36591,48361,12764
172, A ,every,231436,54503,48852,56978,46317,24786
112, I ,through,372049,54041,98384,75591,65530,78503
248, N ,issue,169438,53492,3723,27523,32662,52038
178, N ,part,225292,53040,29247,47988,44725,50292
357, N ,morning,124560,52512,37156,17220,13939,3733
145, D ,another,260296,51840,60140,54513,51121,42682
135, M ,three,288953,51432,48960,63147,72142,53272
156, V ,keep,252367,51217,69370,63541,47564,20675
4294, N ,bush,106659,50417,3694,18046,27916,6586
831, R ,ok,58290,49927,3606,1700,2622,435
809, N ,bill,122354,49853,12541,20068,31769,8123
256, J ,little,162443,48561,57851,26910,20071,9050
161, D ,same,240374,47979,43363,53065,42587,53380
167, V ,help,233703,47839,36224,58782,51135,39723
177, V ,show,225869,47711,32405,48365,42705,54683
594, N ,republican,81388,47345,429,10533,20139,2942
215, V ,bring,189593,47031,41729,38117,36049,26667
364, N ,guy,127711,47009,31662,22780,24597,1663
204, N ,number,201813,46985,18075,40511,37467,58775
150, V ,leave,260368,46894,87438,51054,49850,25132
243, N ,job,169801,46753,22079,33085,48526,19358
210, V ,live,190933,45818,41700,39096,39408,24911
209, N ,night,198607,45514,81359,31966,32751,7017
164, V ,begin,243543,45239,53746,53958,48503,42097
148, D ,own,259644,45163,57459,58572,43275,55175
144, R ,most,265879,44280,23392,72045,55472,70690
165, V ,seem,236617,44265,68905,46475,37842,39130
5628, J ,unidentified,45380,44166,193,270,416,335
180, I ,against,219689,44061,48134,38201,52088,37205
206, R ,always,195113,43946,56700,40891,32417,21159
125, N ,school,331597,43289,33029,48602,96991,109686
181, N ,place,219869,43187,52546,45115,42298,36723
175, V ,might,226672,42961,55741,45914,37320,44736
237, J ,different,176090,42430,19518,33569,25262,55311
202, V ,run,203041,42236,56221,43306,48491,12787
349, N ,war,168673,41606,14909,33754,38496,39908
347, J ,sure,126892,41398,40795,22248,16012,6439
139, V ,become,278670,41198,34683,69356,60360,73073
312, N ,kid,138349,40741,28559,35337,30250,3462
316, R ,ago,135250,40689,22226,26543,37134,8658
236, N ,month,177639,40581,23491,41331,54561,17675
331, P ,anything,130338,40417,44159,19752,18702,7308
282, J ,bad,147391,39627,36896,29530,30040,11298
152, J ,old,254505,39168,86828,52330,43280,32899
280, R ,ever,147198,39112,42545,30277,24073,11191
200, V ,play,204041,39032,31365,41589,67171,24884
505, V ,join,87210,38794,11219,12851,15861,8485
241, N ,book,168369,38766,29160,36204,34352,29887
272, N ,hour,151448,38253,31749,37222,31443,12781
321, C ,whether,131650,37847,10507,23949,25967,33380
170, V ,turn,239636,37451,98257,48486,37154,18288
418, R ,course,103918,37337,27574,16892,10009,12106
205, R ,off,199337,37055,74413,42726,35403,9740
266, J ,important,155792,36832,10714,30209,20724,57313
305, J ,real,134361,36297,25078,27802,27439,17745
383, R ,maybe,118492,36254,51842,14164,13483,2749
228, V ,write,176548,35949,27278,37680,35245,40396
911, R ,tonight,52781,35662,10346,2003,4534,236
398, R ,probably,107712,35650,22193,20603,17028,12238
207, V ,move,193904,35546,59333,37667,38892,22466
286, V ,pay,144423,35377,20180,31490,42508,14868
468, N ,police,94176,35143,13124,8988,30457,6464
194, N ,program,212582,35027,4390,39563,47155,86447
141, J ,high,277214,34999,29589,60611,63252,88763
351, N ,party,123578,34797,12878,20177,28608,27118
287, N ,law,146053,34703,8081,21279,36837,45153
390, V ,love,115531,34582,32153,25604,18294,4898
244, N ,word,165969,34485,49585,27550,19817,34532
335, V ,speak,128408,34428,39991,17455,18815,17719
320, V ,understand,131426,34141,29989,19770,15312,32214
385, J ,able,112076,33986,15970,21984,18232,21904
345, N ,person,123625,33784,17286,23112,19020,30423
185, D ,few,213654,33664,51152,55470,43197,30171
306, V ,change,133595,33612,21902,27700,26324,24057
277, J ,political,155252,33426,2883,20806,30014,68123
224, N ,home,185420,33293,22994,44940,60433,23760
283, V ,lose,145770,33259,29248,30090,38582,14591
246, N ,business,166478,33057,17405,40669,53577,21770
265, N ,friend,156386,32638,42098,36915,31184,13551
140, I ,between,284031,32385,36386,51474,41435,122351
231, J ,national,179411,32087,3333,41883,46865,55243
189, N ,company,217148,32056,10897,65682,86813,21700
249, N ,side,165909,31714,50434,38891,27577,17293
425, V ,kill,100497,31669,26142,15313,20320,7053
293, V ,continue,136870,31564,25542,24175,26160,29429
509, N ,tax,88738,31451,1794,16869,29689,8935
904, N ,democrat,53607,31382,297,6471,13524,1933
323, V ,watch,136011,31190,55785,22210,21608,5218
234, J ,young,173683,31095,42319,34792,36717,28760
163, N ,group,249082,31070,12030,45645,54479,105858
389, P ,everything,113213,30934,34778,21791,18940,6770
288, V ,meet,140040,30647,30755,25827,29142,23669
369, N ,moment,119290,30544,48596,17164,12378,10608
247, M ,four,163783,30439,23642,36145,45438,28119
2732, N ,white,74292,30130,4407,13820,18213,7722
379, V ,remember,115601,30104,43619,19198,15306,7374
799, P ,everybody,55824,30094,9111,5998,9327,1294
1074, N ,break,45473,30087,4005,4462,5072,1847
269, R ,away,156616,29940,68427,27602,22004,8643
311, N ,idea,133328,29931,22580,28627,21239,30951
467, J ,whole,90719,29521,21660,17689,13237,8612
285, N ,member,148448,29401,7401,25584,39618,46444
324, R ,together,129820,29366,30215,30275,21356,18608
254, J ,long,161439,29346,48834,35524,28203,19532
213, V ,hold,191472,29323,61766,36777,35157,28449
664, R ,certainly,64199,29271,8644,8786,8466,9032
191, N ,system,215748,29112,9817,51080,40217,85522
308, N ,minute,141846,28995,30693,46978,27718,7462
219, I ,before,187768,28981,42522,43737,45122,27406
574, N ,news,92380,28926,11498,16931,28354,6671
255, D ,both,157482,28906,25280,29566,26194,47536
359, N ,reason,115335,28738,17141,22458,19731,27267
533, V ,end,88699,28676,12630,16597,21309,9487
640, N ,campaign,69074,28410,1261,12130,20331,6942
326, R ,around,132913,28346,51157,25779,19904,7727
412, N ,nation,105498,28261,2671,19299,28656,26611
638, N ,congress,68159,28039,853,10867,15374,13026
222, M ,million,176204,28003,5998,46776,77172,18255
342, V ,spend,125139,27971,19512,31640,33097,12919
315, P ,nothing,137198,27955,55888,22255,19602,11498
409, V ,stay,105252,27949,30547,21075,19594,6087
225, I ,under,177088,27847,40051,33586,35290,40314
229, N ,mother,182856,27838,82266,30223,25214,17315
372, N ,force,115837,27821,7727,21086,25638,33565
252, R ,far,160549,27659,29901,35737,31326,35926
344, N ,health,139598,27642,3357,32293,28511,47795
361, V ,win,120447,27427,8781,23850,52591,7798
514, V ,agree,82866,27279,10919,12724,18215,13729
482, V ,hope,88719,27221,20643,13821,19552,7482
329, V ,stop,131958,27051,53890,22783,20699,7535
1150, R ,absolutely,40350,26997,4143,3766,3821,1623
230, N ,area,178801,26956,10312,37923,46026,57584
299, M ,five,136838,26872,21809,30918,36777,20462
298, N ,name,137352,26747,42559,25057,26364,16625
476, N ,report,90951,26690,5113,14725,22395,22028
291, R ,almost,138024,26677,36503,30681,24850,19313
245, C ,though,165349,26588,48855,36407,29262,24237
302, R ,least,134256,26574,23189,29845,27355,27293
174, N ,hand,242773,26531,129578,37707,23914,25043
309, J ,best,136214,26477,19331,40944,34109,15353
276, N ,line,147405,26132,26750,38204,33471,22848
541, N ,court,108946,26093,6263,13954,32035,30601
268, V ,sit,158040,25997,78670,25513,20986,6874
419, P ,someone,104075,25892,35035,18561,17422,7165
440, R ,else,95331,25787,32660,16062,14066,6756
218, I ,without,184781,25723,42958,42540,34102,39458
404, V ,send,105353,25688,24155,21587,22431,11492
434, N ,care,102891,25614,9767,20418,20736,26356
400, V ,wait,110964,25512,49919,16165,14675,4693
275, R ,yet,146786,25443,31979,33206,26410,29748
531, N ,couple,82027,25329,17536,18553,16032,4577
334, R ,already,125028,25292,32362,24368,24644,18362
474, J ,military,92102,25260,3466,13726,19849,29801
257, N ,house,213652,25175,71114,46612,54499,16252
1001, P ,somebody,45040,24891,9793,4091,5421,844
748, R ,exactly,57901,24862,13868,8891,6002,4278
267, N ,father,156488,24841,69598,24307,23199,14543
797, R ,pretty,55701,24811,11642,8636,9181,1431
337, V ,read,124885,24806,33500,23275,18651,24653
442, D ,former,98927,24759,3530,18377,39432,12829
863, V ,guess,51540,24593,17297,4252,4206,1192
295, R ,later,136908,24542,32207,32713,29204,18242
548, N ,situation,78477,24508,6657,11407,12124,23781
289, N ,car,142725,24480,50582,30879,31191,5593
198, I ,during,205544,24379,16698,48924,47532,68011
327, N ,parent,129272,24280,17996,28466,27388,31142
635, N ,administration,68066,24255,767,10642,17383,15019
461, N ,drug,93081,24228,4846,20800,22403,20804
290, N ,city,201314,24201,23618,42080,82650,28765
492, J ,TRUE,86055,24108,16866,17361,11917,15803
407, N ,sense,103770,24087,16259,20758,14672,27994
153, C ,while,254311,23976,44345,66066,56440,63484
438, J ,hard,94488,23898,19218,23544,19587,8241
403, V ,die,107409,23817,32488,19855,22213,9036
260, C ,since,152783,23798,29644,34026,32638,32677
281, V ,stand,151728,23780,74151,23901,18532,11364
333, J ,public,130442,23622,4575,22345,35889,44011
388, N ,policy,116824,23509,1410,17760,20509,53636
561, R ,quite,75276,23337,17662,12601,9209,12467
341, N ,office,123606,23280,24099,24731,36995,14501
479, N ,decision,89426,23275,5224,13198,19904,27825
271, N ,power,155405,23219,14026,35636,28987,53537
413, N ,plan,104472,23129,8769,22768,31813,17993
463, N ,leader,93937,23060,3904,15874,28119,22980
31078, J ,voice-over,23146,23051,12,19,55,9
314, N ,information,136869,23043,6931,27097,25783,54015
801, N ,election,56162,22993,866,6952,15304,10047
576, N ,movie,74861,22975,9744,16495,22695,2952
456, V ,decide,90540,22878,19284,18674,18775,10929
417, N ,death,101428,22689,21186,18600,20999,17954
304, V ,learn,135474,22688,20328,32291,23363,36804
493, J ,federal,89617,21861,1532,16890,31496,17838
203, J ,small,200610,21819,47457,56085,37779,37470
397, V ,buy,109080,21626,19576,31530,30872,5476
655, J ,wrong,63810,21611,17297,10356,9579,4967
183, D ,such,221361,21601,31986,48441,37971,81362
370, N ,air,114140,21552,32833,25383,21427,12945
1112, N ,senate,41922,21334,411,5002,11258,3917
609, V ,listen,70615,21297,26814,9446,7605,5453
1028, J ,commercial,45190,21291,1209,6605,7415,8670
405, V ,expect,103130,21287,16904,18887,27559,18493
296, N ,community,146262,21122,3566,22868,32898,65808
300, R ,once,136714,21058,40969,31425,25030,18232
674, V ,deal,62076,21037,5882,10305,12305,12547
223, V ,must,182442,21001,42702,34223,27374,57142
606, N ,evidence,70574,20751,4267,11573,10437,23546
657, N ,defense,65072,20738,2708,11195,19294,11137
363, N ,girl,121177,20571,52641,18401,17470,12094
433, V ,raise,94234,20482,18753,19018,21947,14034
253, J ,black,161425,20335,41118,42892,30188,26892
1026, R ,ahead,43538,20334,9416,6645,5345,1798
570, N ,doctor,75565,20235,16610,20281,13964,4475
1079, N ,vote,42958,20189,853,4968,12815,4133
294, V ,set,135924,20154,28025,34618,31570,21557
1110, N ,video,49171,20126,3546,11046,9458,4995
374, R ,enough,115134,20047,38244,26694,19624,10525
562, N ,picture,74387,19954,16385,15818,11689,10541
227, N ,room,185952,19948,87748,36225,31908,10123
339, V ,allow,124739,19725,12674,29058,29223,34059
270, C ,until,155160,19627,40146,47859,32764,14764
953, N ,bit,46187,19553,9764,7873,5989,3008
645, N ,economy,67240,19445,854,12512,16349,18080
424, M ,six,98285,19313,16260,22132,26701,13879
220, J ,large,190008,19294,23611,55344,39579,52180
452, J ,better,91528,19263,14745,23170,20038,14312
557, N ,phone,78367,19218,26052,14931,14484,3682
414, V ,cut,104501,19199,28990,27982,22099,6231
511, R ,early,81954,19143,11866,16873,19665,14407
350, N ,history,124707,19089,8821,25658,25350,45789
836, N ,sort,51135,19013,12096,7922,5797,6307
382, N ,boy,116082,18991,50854,17379,18100,10758
358, V ,walk,122986,18915,61545,19971,17000,5555
829, N ,crime,51514,18855,4408,7033,13819,7399
854, J ,democratic,50910,18811,364,6745,12022,12968
391, N ,process,115727,18755,3649,19142,14846,59335
466, N ,wife,90697,18731,26428,17848,20175,7515
392, N ,music,110990,18714,13604,17677,24485,36510
226, N ,water,184829,18650,43615,54861,32983,34720
263, N ,service,159496,18561,8296,36967,44932,50740
318, V ,lead,133408,18545,18607,28202,33066,34988
516, N ,record,83911,18533,5956,16975,31712,10735
661, N ,security,82572,18477,6497,14659,23535,19404
1073, J ,interesting,41004,18464,4876,5681,4678,7305
469, N ,mind,89729,18427,29216,16893,11517,13676
251, N ,head,173375,18374,92403,28891,20924,12783
332, V ,create,130994,18359,6587,37629,27357,41062
437, J ,late,93574,18282,15656,22016,22157,15463
958, N ,candidate,47285,18210,1067,7154,14006,6848
526, N ,official,85604,18146,1436,10792,43509,11721
1070, N ,attorney,42625,18089,2163,5013,13754,3606
950, N ,camera,49111,18082,10543,9741,5520,5225
1282, R ,obviously,34007,18073,5010,3577,3765,3582
529, P ,everyone,81623,18012,23748,16908,16551,6404
676, V ,fight,61781,17810,12194,11894,13791,6092
157, N ,student,280591,17798,10975,24015,41528,186275
458, J ,strong,90550,17762,12417,19898,18772,21701
441, V ,pass,94585,17748,28166,18215,19098,11358
524, V ,support,83180,17743,3294,14995,16600,30548
608, J ,difficult,68874,17738,5855,13387,12837,19057
791, N ,attack,55246,17721,4416,10638,14744,7727
613, N ,chance,69076,17713,13300,14987,16419,6657
353, V ,grow,118898,17657,26051,33097,27104,14989
273, N ,game,159057,17489,14454,33171,81840,12103
898, J ,nice,48777,17476,15605,7616,6881,1199
588, N ,baby,73089,17455,23115,18895,10524,3100
636, N ,south,98084,17433,8449,20861,30904,20437
535, V ,hit,80507,17425,19043,18739,22738,2562
520, J ,special,81495,17251,8547,16205,18249,21243
336, N ,others,125416,17220,20629,26594,25146,35827
899, N ,trial,47705,17038,2516,7531,11108,9512
1698, R ,basically,25403,17016,956,2727,3092,1612
776, D ,whatever,54401,16997,15072,9262,7273,5797
445, R ,sometimes,91728,16985,22282,21394,17207,13860
443, V ,sell,94074,16976,10603,25550,32522,8423
381, M ,second,112893,16937,15972,20797,27458,31729
313, N ,body,134912,16898,41006,36021,14118,26869
435, R ,perhaps,93221,16831,22236,18728,13639,21787
402, N ,market,108070,16772,4069,27241,33759,26229
997, N ,stuff,44316,16733,10595,8490,7027,1471
394, V ,consider,110724,16699,11619,23031,22082,37293
416, N ,interest,100940,16668,7294,18966,20822,37190
930, N ,weapon,46338,16657,6489,6779,9179,7234
310, D ,several,133049,16641,17862,30746,31758,36042
460, N ,heart,91598,16628,26206,24373,15261,9130
481, N ,son,87765,16601,22284,18612,21478,8790
367, P ,himself,117476,16596,50329,19181,17811,13559
1338, R ,tomorrow,32726,16581,9586,2729,2864,966
747, J ,happy,56831,16574,16042,11684,9590,2941
444, J ,major,93689,16544,3364,20638,25003,28140
517, V ,pick,83487,16543,29840,16918,16627,3559
307, N ,team,144261,16535,8061,28188,72087,19390
325, V ,follow,129207,16456,30762,26195,21519,34275
488, N ,town,87755,16265,21359,17224,22862,10045
794, N ,television,52510,16248,5663,9341,15328,5930
563, J ,clear,74686,16240,12761,14579,12870,18236
459, J ,possible,91694,16231,10879,19281,14388,30915
1384, P ,anybody,30952,16211,6204,3065,4790,682
1138, N ,troop,38823,16184,1885,6944,9974,3836
1550, V ,welcome,27845,16101,3227,3151,3393,1973
1116, N ,judge,43496,16071,3653,4676,12666,6430
502, N ,action,86253,16051,6099,15826,16796,31481
767, N ,answer,54222,16016,10618,10283,7643,9662
1013, J ,tough,43362,16001,3812,9595,12366,1588
470, R ,finally,88457,15970,26675,17605,11496,16711
512, N ,position,82626,15951,8023,16763,15377,26512
2961, U ,mm-hmm,15996,15951,34,4,6,1
578, N ,north,93416,15947,8590,22277,28592,18010
408, V ,build,105077,15905,12001,30576,28216,18379
485, N ,view,87911,15823,9236,19010,15127,28715
757, N ,media,56213,15779,1622,10701,14810,13301
449, P ,themselves,91662,15699,12703,19748,15503,28009
377, I ,across,115131,15584,40342,20918,17982,20305
496, N ,difference,89232,15528,5689,13174,10413,44428
366, N ,food,118201,15524,15058,38875,29197,19547
421, I ,behind,102946,15488,46483,16816,16282,7877
634, N ,daughter,65877,15444,17520,13939,14132,4842
716, N ,race,59654,15293,4669,11064,17394,11234
1510, R ,yesterday,27892,15245,4592,1225,6348,482
577, J ,certain,72141,15218,11624,14230,10379,20690
554, N ,street,114259,15217,35441,19744,35172,8685
453, J ,economic,96894,15132,749,14942,18958,47113
2083, U ,hi,20641,15124,4116,681,426,294
475, N ,price,95908,15098,4548,28200,31515,16547
807, N ,message,51883,15044,8174,10293,10163,8209
553, V ,face,75799,15008,13832,15356,17947,13656
432, N ,control,97795,14996,9564,19529,15600,38106
1083, N ,debate,40719,14926,857,5777,8165,10994
671, N ,officer,63862,14773,10016,8830,21486,8757
593, N ,film,71725,14755,4678,15770,24589,11933
338, N ,level,132310,14726,5715,24975,18244,68650
399, J ,human,109916,14712,12829,23391,14493,44491
689, J ,foreign,61826,14700,2832,9058,13518,21718
352, I ,within,120768,14695,11440,23639,16324,54670
274, R ,often,151696,14684,14672,43524,28867,49949
192, D ,each,212566,14641,29453,59474,37785,71213
454, N ,effort,93914,14620,6326,17427,21682,33859
355, V ,open,121005,14564,47102,20567,28308,10464
486, N ,relationship,92198,14544,4432,17637,10817,44768
547, D ,half,76968,14528,17973,19856,15645,8966
2951, N ,correspondent,18225,14501,238,1199,1804,483
583, R ,simply,71742,14433,10628,18648,11236,16797
279, I ,among,149851,14394,12500,31662,33819,57476
558, R ,either,72215,14389,13840,14099,10638,19249
755, J ,serious,54278,14376,7710,11618,10329,10245
2137, N ,mark,52430,14311,8163,10424,14804,4728
522, N ,ground,81234,14270,21009,20408,13677,11870
565, N ,piece,75273,14224,16694,21704,13227,9424
637, N ,husband,65536,14149,18060,14454,13048,5825
1055, N ,budget,43885,14107,789,8064,14979,5946
500, J ,international,88771,14098,1746,14665,22866,35396
1656, N ,jury,25056,14059,1495,2085,5433,1984
1290, N ,reporter,35804,14034,3828,5116,10853,1973
1195, N ,weekend,36929,14026,4814,6109,10970,1010
528, N ,matter,74795,14002,14186,16116,11814,18677
612, M ,billion,66119,13987,1190,18392,24674,7876
386, N ,age,112152,13974,13378,27652,24835,32313
841, N ,gun,50929,13957,15483,9434,9643,2412
262, V ,provide,162772,13924,5034,33572,28009,82233
1014, V ,sing,45167,13912,12135,6917,6645,5558
934, N ,peace,45534,13879,4944,7374,10040,9297
490, V ,drive,86999,13872,26795,19057,19339,7936
1385, N ,murder,30822,13832,4616,3629,6431,2314
451, N ,role,95826,13782,3045,16542,17899,44558
1176, N ,investigation,36819,13690,1875,3892,8581,8781
420, N ,experience,106431,13677,6108,20080,16370,50196
647, N ,hospital,63935,13606,10583,11799,16911,11036
242, N ,eye,183865,13586,117933,27265,14625,10456
510, N ,director,87211,13553,3712,19907,38109,11930
549, J ,easy,78017,13547,13155,26255,15067,9993
654, N ,future,62803,13525,6285,14958,13323,14712
952, N ,politics,45290,13493,1659,6970,8292,14876
473, J ,free,89611,13479,12506,19365,26839,17422
546, N ,oil,83916,13475,4635,32629,20687,12490
354, N ,result,123215,13473,4098,24021,19292,62331
410, V ,fall,105127,13462,38151,21248,20176,12090
4241, N ,clip,17078,13371,1050,1244,931,482
732, V ,shoot,57405,13346,15969,12595,13046,2449
